,Unnamed: 0_x,Player,Mat_x,Inns_x,NO,Runs_x,HS,Ave_x,BF,SR_x,100,50,0,4s,6s,format,Unnamed: 0_y,Span,Mat_y,Inns_y,Balls,Runs_y,Wkts,Ave_y,Econ,SR_y,4,5
37,37.0,PR Stirling (IRE),134.0,131.0,3.0,4982.0,177,38.92,5787.0,86.08,12.0,26.0,10.0,533,112,odi,,,,,,,,,,,,
38,38.0,F du Plessis (SA),143.0,136.0,20.0,5507.0,185,47.47,6215.0,88.6,12.0,35.0,3.0,495,66,odi,,,,,,,,,,,,
39,39.0,R Dravid (Asia/ICC/INDIA),344.0,318.0,40.0,10889.0,153,39.16,15285.0,71.23,12.0,83.0,13.0,950,42,odi,,,,,,,,,,,,
40,40.0,JM Bairstow (ENG),89.0,81.0,8.0,3498.0,141*,47.91,3331.0,105.01,11.0,14.0,6.0,391,89,odi,,,,,,,,,,,,
41,41.0,SPD Smith (AUS),128.0,113.0,12.0,4378.0,164,43.34,4947.0,88.49,11.0,25.0,5.0,377,42,odi,,,,,,,,,,,,
42,42.0,CG Greenidge (WI),128.0,127.0,13.0,5134.0,133*,45.03,7908.0,64.92,11.0,31.0,3.0,470+,81+,odi,,,,,,,,,,,,
43,43.0,WTS Porterfield (IRE),145.0,142.0,3.0,4317.0,139,31.05,6259.0,68.97,11.0,20.0,10.0,452,31,odi,,,,,,,,,,,,
44,44.0,G Gambhir (INDIA),147.0,143.0,11.0,5238.0,150*,39.68,6144.0,85.25,11.0,34.0,11.0,561,17,odi,,,,,,,,,,,,
45,45.0,IVA Richards (WI),187.0,167.0,24.0,6721.0,189*,47.0,7451.0,90.2,11.0,45.0,7.0,600+,126+,odi,,,,,,,,,,,,
46,46.0,BRM Taylor (ZIM),205.0,203.0,15.0,6684.0,145*,35.55,8721.0,76.64,11.0,39.0,15.0,599,106,odi,,,,,,,,,,,,
47,47.0,Mohammad Hafeez (PAK),218.0,216.0,15.0,6614.0,140*,32.9,8633.0,76.61,11.0,38.0,19.0,664,110,odi,,,,,,,,,,,,
48,48.0,S Chanderpaul (WI),268.0,251.0,40.0,8778.0,150,41.6,12408.0,70.74,11.0,59.0,6.0,722,85,odi,,,,,,,,,,,,
49,49.0,MS Atapattu (SL),268.0,259.0,32.0,8529.0,132*,37.57,12594.0,67.72,11.0,59.0,13.0,734,15,odi,,,,,,,,,,,,
50,50.0,PA de Silva (SL),308.0,296.0,30.0,9284.0,145,34.9,11443.0,81.13,11.0,64.0,17.0,712+,102+,odi,,,,,,,,,,,,
51,51.0,SD Hope (WI),83.0,78.0,10.0,3599.0,170,52.92,4813.0,74.77,10.0,19.0,4.0,283,52,odi,,,,,,,,,,,,
52,52.0,ML Hayden (AUS/ICC),161.0,155.0,15.0,6133.0,181*,43.8,7767.0,78.96,10.0,36.0,9.0,636,87,odi,,,,,,,,,,,,
53,53.0,GC Smith (Afr/SA),197.0,194.0,10.0,6989.0,141,37.98,8648.0,80.81,10.0,47.0,8.0,788,44,odi,,,,,,,,,,,,
54,54.0,MN Samuels (WI),207.0,196.0,26.0,5606.0,133*,32.97,7463.0,75.11,10.0,30.0,11.0,526,118,odi,,,,,,,,,,,,
55,55.0,Ijaz Ahmed (PAK),250.0,232.0,29.0,6564.0,139*,32.33,8174.0,80.3,10.0,37.0,14.0,531+,87+,odi,,,,,,,,,,,,
56,56.0,MS Dhoni (Asia/INDIA),350.0,297.0,84.0,10773.0,183*,50.57,12303.0,87.56,10.0,73.0,10.0,826,229,odi,,,,,,,,,,,,
