,Player,Mat_x,Inns_x,NO,Runs_x,HS,Ave_x,BF,SR_x,100,50,0,4s,6s,Mat_y,Inns_y,Overs,Mdns,Runs_y,Wkts,Ave_y,Econ,SR_y,4,5
248,MA Wood (ENG),,,,,,,,,,,,,,19,19,71.3,1,621,26,23.88,8.68,16.5,0,0
249,WP Masakadza (ZIM),,,,,,,,,,,,,,28,28,90,1,650,26,25,7.22,20.7,1,0
250,MA Leask (SCOT),,,,,,,,,,,,,,43,32,84.3,0,677,26,26.03,8.01,19.5,0,0
251,NN Odhiambo (KENYA),,,,,,,,,,,,,,35,31,88.1,1,688,26,26.46,7.8,20.3,0,1
252,P Utseya (ZIM),,,,,,,,,,,,,,35,35,124.5,2,858,26,33,6.87,28.8,0,0
253,JA Morkel (SA),,,,,,,,,,,,,,50,46,107.5,2,864,26,33.23,8.01,24.8,0,0
254,MA Baig (MWI),,,,,,,,,,,,,,13,13,45,1,236,25,9.44,5.24,10.8,1,1
255,LH Ferguson (NZ),,,,,,,,,,,,,,15,15,54,0,385,25,15.4,7.12,12.9,0,1
256,B Regmi (NEPAL),,,,,,,,,,,,,,18,18,62.1,0,405,25,16.2,6.51,14.9,1,0
257,Aamir Kaleem (OMA),,,,,,,,,,,,,,28,23,65,0,462,25,18.48,7.1,15.6,2,1
258,E Otieno (KENYA),,,,,,,,,,,,,,25,25,74.3,3,525,25,21,7.04,17.8,0,0
259,SE Bond (NZ),,,,,,,,,,,,,,20,20,77.3,2,543,25,21.72,7,18.6,0,0
260,Nadeem Ahmed (HKG),,,,,,,,,,,,,,24,24,82.3,3,546,25,21.84,6.61,19.8,1,0
261,SMSM Senanayake (SL),,,,,,,,,,,,,,24,23,81,0,549,25,21.96,6.77,19.4,1,0
262,BE Hendricks (SA),,,,,,,,,,,,,,19,19,68.1,0,627,25,25.08,9.19,16.3,1,0
263,LE Plunkett (ENG),,,,,,,,,,,,,,22,22,79.2,1,627,25,25.08,7.9,19,0,0
264,Harbhajan Singh (INDIA),,,,,,,,,,,,,,28,27,102,5,633,25,25.32,6.2,24.4,1,0
265,B Muzarabani (ZIM),,,,,,,,,,,,,,21,21,81.4,0,653,25,26.12,7.99,19.6,0,0
266,Mohammad Nawaz (PAK),,,,,,,,,,,,,,30,30,97,1,694,25,27.76,7.15,23.2,0,0
267,Washington Sundar (INDIA),,,,,,,,,,,,,,31,30,103.3,1,750,25,30,7.24,24.8,0,0
